DBA,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,Latitude,Longitude,Emission_Level
Santa Fe,73,WEST   71 STREET,10023,Tex-Mex,40.776448360581,-73.978621546726,Medium
HOLY COW,23,WEST  100 STREET,10025,American,40.794450093643,-73.963407314508,High
LYLA'S BODEGA,177,WEST   83 STREET,10024,Latin American,40.785368197909,-73.975560069114,High
SHALEL,65,WEST   70 STREET,10023,Mediterranean,40.775641403459,-73.978625417361,Medium
LENWICH,469,COLUMBUS AVENUE,10024,Sandwiches,40.784209527973,-73.973816364741,High
PASTRAMI QUEEN,138,WEST   72 STREET,10023,Jewish/Kosher,40.777993943276,-73.980216977784,High
BEACON THEATRE (BALCONY BAR),2124,BROADWAY,10023,American,40.7805577458,-73.981429455055,High
AMSTERDAM ALE HOUSE,340,AMSTERDAM AVENUE,10024,American,40.781240900337,-73.979721319327,High
STARBUCKS,2252,BROADWAY,10024,Coffee/Tea,40.784916023812,-73.979160478858,Low
STARBUCKS #50611,21,WEST END AVENUE,10023,Coffee/Tea,40.772456283691,-73.989843950399,Low
TRI DIM WEST,467,COLUMBUS AVENUE,10024,Chinese,40.784151898051,-73.973859719909,Medium
BREADS BAKERY,1890,BROADWAY,10023,Bakery Products/Desserts,40.770975920161,-73.982139759517,Low
NOIDUE GELATO,489,COLUMBUS AVENUE,10024,Frozen Desserts,40.784868158785,-73.973339442992,Low
CITY DINER,2441,BROADWAY,10024,American,40.790934324827,-73.974507099332,High
EMERALD INN,250,WEST   72 STREET,10023,Irish,40.779292699707,-73.983285745093,High
BOB'S YOUR UNCLE,929,COLUMBUS AVENUE,10025,American,40.798915696997,-73.963083396615,High
AMORINO,44,WEST   63 STREET,10023,Frozen Desserts,40.771486487081,-73.982414008303,Low
UNO CHICAGO GRILL,432,COLUMBUS AVENUE,10024,Pizza,40.783054181605,-73.974683454831,Low
NICE MATIN,201,WEST   79 STREET,10024,French,40.783244357926,-73.978554358542,High
UTOPIA DINER,267,AMSTERDAM AVENUE,10023,American,40.7789108867,-73.981386587121,High
UTOPIA DINER,267,AMSTERDAM AVENUE,10023,American,40.7789108867,-73.981386587121,High
P.J. CLARKE'S,44,WEST   63 STREET,10023,American,40.771486487081,-73.982414008303,High
MANHATTAN DINER,2532,BROADWAY,10025,American,40.793763679678,-73.972418531085,High
TSUMO,782,AMSTERDAM AVENUE,10025,Japanese,40.795541484345,-73.96929371008,Medium
DOS TOROS,2911,BROADWAY,10025,Mexican,40.806445154363,-73.965047880153,High
GIACOMO FINE FOODS,269,WEST   72 STREET,10023,American,40.779438215408,-73.983589013786,High
LE PAIN QUOTIDIEN,2161,BROADWAY,10024,American,40.781853204912,-73.981035503216,High
FREDDIE & PEPPER'S PIZZA,303,AMSTERDAM AVENUE,10023,Pizza,40.780099223028,-73.980530490718,Low
POPUP BAGELS,338,COLUMBUS AVENUE,10023,Bagels/Pretzels,40.779898199163,-73.976981130206,Low
AMSTERDAM CAFE,481,AMSTERDAM AVENUE,10024,American,40.785818505083,-73.976361573045,High
STARBUCKS,540,COLUMBUS AVENUE,10024,Coffee/Tea,40.78658608086,-73.972107344375,Low
PLAYA BETTY'S / WEST SIDE COMEDY CLUB,320,AMSTERDAM AVENUE,10023,Mexican,40.780697508067,-73.980115067741,High
AMSTERDAM ALE HOUSE,340,AMSTERDAM AVENUE,10024,American,40.781240900337,-73.979721319327,High
BROADWAY BAGEL,2658,BROADWAY,10025,Bagels/Pretzels,40.797734597388,-73.969513012806,Low
MILA CAFE,694,COLUMBUS AVENUE,10025,American,40.791385746732,-73.968605851314,High
PEAKY BARISTA,2680,BROADWAY,10025,Coffee/Tea,40.79860451602,-73.968891379501,Low
FRANCESCO PIZZERIA,186,COLUMBUS AVENUE,10023,Pizza,40.775090040816,-73.980495855488,Low
TENZAN,285,COLUMBUS AVENUE,10023,Japanese,40.778314698771,-73.978119055563,Medium
HAAGEN-DAZS,2905,BROADWAY,10025,Frozen Desserts,40.806283250562,-73.965167169426,Low
DIVE 75,101,WEST   75 STREET,10023,American,40.779511332867,-73.977710642448,High
MALAYSIA GRILL,224,WEST  104 STREET,10025,Asian/Asian Fusion,40.799496191392,-73.967561792864,Medium
MOKJA,852,AMSTERDAM AVENUE,10025,Korean,40.797627074754,-73.967764966215,Medium
THE MUFFIN CAFE,222,COLUMBUS AVENUE,10023,Coffee/Tea,40.776286601988,-73.979621736879,Low
HULA POKE,1028,AMSTERDAM AVENUE,10025,Hawaiian,40.8034254649,-73.963543232637,High
HAPPY HOT HUNAN RESTAURANT,969,AMSTERDAM AVENUE,10025,Chinese,40.801392057921,-73.964992752083,Medium
HAPPY HOT HUNAN RESTAURANT,969,AMSTERDAM AVENUE,10025,Chinese,40.801392057921,-73.964992752083,Medium
THE CONSULATE,519,COLUMBUS AVENUE,10024,French,40.785897263869,-73.972587914321,High
LA NUEVA VICTORIA RESTAURANT,2536,BROADWAY,10025,Chinese/Cuban,40.79387345055,-73.97233903102,Medium
MARINARA PIZZA,2578,BROADWAY,10025,Pizza,40.79545139632,-73.971179033158,Low
OLD JOHN'S DINER,148,WEST   67 STREET,10023,American,40.775016335664,-73.98303408496,High
BAGEL TALK,368,AMSTERDAM AVENUE,10024,Bagels/Pretzels,40.782152039685,-73.979060241334,Low
CHOP'T,345,AMSTERDAM AVENUE,10024,Salads,40.781460447902,-73.979537096907,Low
THAI 72,128,WEST   72 STREET,10023,Thai,40.777917057655,-73.980029244558,Medium
JOE & THE JUICE,2460,BROADWAY,10025,"Juice, Smoothies, Fruit Salads",40.791551786007,-73.974026540769,Low
PLOWSHARES COFFEE,2730,BROADWAY,10025,Coffee/Tea,40.800188007602,-73.968059897762,Low
LA BOITE EN BOIS,75,WEST   68 STREET,10023,French,40.774554719081,-73.979947215012,High
BROAD NOSH BAGELS,2350,BROADWAY,10024,Sandwiches/Salads/Mixed Buffet,40.788000661474,-73.976747198437,Medium
CURRY KING,942,COLUMBUS AVENUE,10025,Pakistani,40.799439828364,-73.962725529944,Medium
PATIS,676,AMSTERDAM AVENUE,10025,Jewish/Kosher,40.792028860133,-73.971852252777,High
THYME & TONIC,474,COLUMBUS AVENUE,10024,Jewish/Kosher,40.784341260411,-73.97374770288,High
LINCOLN CENTER KITCHEN @ DAVID GEFFEN HALL,132,WEST   65 STREET,10023,American,40.773473821016,-73.983290821654,High
BROADWAY DIVE,2662,BROADWAY,10025,American,40.797978833846,-73.969339534706,High
HUNGARIAN PASTRY SHOP,1030,AMSTERDAM AVENUE,10025,Eastern European,40.803472115272,-73.963510698204,Medium
DOMINO'S PIZZA #3685,592,COLUMBUS AVENUE,10024,Pizza,40.788191470186,-73.970936622672,Low
GRAY'S PAPAYA 72 BROADWAY,2080,BROADWAY,10023,Hotdogs,40.777996996817,-73.982098151394,High
PANCHO'S ANTOJITOS MEXICANOS,964,AMSTERDAM AVENUE,10025,Mexican,40.801328950729,-73.965065024806,High
SWEETGREEN,311,AMSTERDAM AVENUE,10023,Salads,40.780277609875,-73.9804004487,Low
94 CORNER CAFE,2518,BROADWAY,10025,American,40.7932697092,-73.972772666592,High
NOCHE MEXICANA II,842,AMSTERDAM AVENUE,10025,Mexican,40.79738833218,-73.96794567005,High
ELLA KITCHEN AND BAR,249,COLUMBUS AVENUE,10023,Mediterranean,40.77705777194,-73.979032964257,Medium
JING FONG,380,AMSTERDAM AVENUE,10024,Chinese,40.782566441625,-73.97875679084,Medium
TROPICAL SENSATION,953,AMSTERDAM AVENUE,10025,Latin American,40.800928298588,-73.965332520076,High
CURRY KING,942,COLUMBUS AVENUE,10025,Pakistani,40.799439828364,-73.962725529944,Medium
THE GIN MILL,442,AMSTERDAM AVENUE,10024,American,40.784654906846,-73.977235864784,High
MOMOYA,427,AMSTERDAM AVENUE,10024,Japanese,40.7840923079,-73.977618827214,Medium
CHALAIT,461,AMSTERDAM AVENUE,10024,Coffee/Tea,40.785228471097,-73.976791503443,Low
VIN SUR VINGT,100,RIVERSIDE BOULEVARD,10069,French,40.776038174704,-73.989684535914,High
COMA BUENO RESTAURANT,944,COLUMBUS AVENUE,10025,Spanish,40.79949471042,-73.962685768519,Medium
SHUN LEE,37,WEST   65 STREET,10023,Chinese,40.772273899388,-73.980363099092,Medium
PLAYA BETTY'S / WEST SIDE COMEDY CLUB,320,AMSTERDAM AVENUE,10023,Mexican,40.780697508067,-73.980115067741,High
BROADWAY PIZZA,2709,BROADWAY,10025,Pizza,40.799438779376,-73.968378102965,Low
TRUDY'S ICE CREAM,975,COLUMBUS AVENUE,10025,Frozen Desserts,40.800389276753,-73.962009836241,Low
CREPES ON COLUMBUS,990,COLUMBUS AVENUE,10025,French,40.80099572781,-73.961594114287,High
SENN THAI COMFORT FOOD,452,AMSTERDAM AVENUE,10024,Thai,40.784901898592,-73.977055226234,Medium
SWEETGREEN,600,WEST  115 STREET,10025,Salads,40.807455118131,-73.964711403469,Low
PICKY BARISTA,667,COLUMBUS AVENUE,10025,Coffee/Tea,40.790828663519,-73.968978089057,Low
KASBAH BBQ & GRILL,251,WEST   85 STREET,10024,Jewish/Kosher,40.78785534499,-73.977527276446,High
CROSSBAR / SOCCER POST UPPER WESTSIDE,250,WEST   86 STREET,10024,American,40.788483777016,-73.97694203767,High
PATSYS PIZZERIA,61,WEST   74 STREET,10023,Pizza,40.778223828694,-73.976631472177,Low
STARBUCKS,159,COLUMBUS AVENUE,10023,Coffee/Tea,40.774349043002,-73.98100876451,Low
FRIEDMAN'S RESTAURANT,50,WEST   72 STREET,10023,American,40.777043847286,-73.977960606262,High
BODRUM MEDITERRANEAN RESTAURANT,584,AMSTERDAM AVENUE,10024,Mediterranean,40.789152856795,-73.973951642805,Medium
STARBUCKS,48,WEST   73 STREET,10023,Coffee/Tea,40.77772993905,-73.977462103756,Low
BLACK PRESS COFFEE,274,COLUMBUS AVENUE,10023,Coffee/Tea,40.777886580684,-73.978454991296,Low
ARTS AND CRAFTS BEER PARLOR,1135,AMSTERDAM AVENUE,10025,American,40.806696410041,-73.961124830344,High
1020 BAR,1020,AMSTERDAM AVENUE,10025,American,40.803093425955,-73.963781811583,High
CHOP'T,345,AMSTERDAM AVENUE,10024,Salads,40.781460447902,-73.979537096907,Low
OMONIA CAFE,2801,BROADWAY,10025,Bakery Products/Desserts,40.80302043603,-73.9675203361,Low
MISS MAIME'S SPOONBREAD TOO,364,WEST  110 STREET,10025,Soul Food,40.80137126967,-73.96015994361,Very High
PIO PIO,702,AMSTERDAM AVENUE,10025,Peruvian,40.792799995389,-73.97128853059,Very High
PANDA EXPRESS # 2792,2852,BROADWAY,10025,Chinese,40.804653217067,-73.966327526336,Medium
BLONDIES,212,WEST   79 STREET,10024,American,40.783376172272,-73.978911804181,High
AFTERNOON,2785,BROADWAY,10025,Donuts,40.80247986175,-73.968022673472,Low
KYURAMEN / TBAAR,2785,BROADWAY,10025,Japanese,40.80247986175,-73.968022673472,Medium
FRENCH ROAST,2340,BROADWAY,10024,French,40.78767958083,-73.977021764246,High
METRO DINER,2641,BROADWAY,10025,American,40.797306507192,-73.969856325976,High
DUNKIN,535,AMSTERDAM AVENUE,10024,Donuts,40.787514499858,-73.975122320852,Low
ZAAD,963,AMSTERDAM AVENUE,10025,Mediterranean,40.801243874539,-73.965101189285,Medium
MANDARIN ORIENTAL HOTEL-CAFETERIA,80,COLUMBUS CIRCLE,10023,American,40.769021754817,-73.982800954249,High
JIN RAMEN UWS,462,AMSTERDAM AVENUE,10024,Japanese,40.785280619194,-73.976780651907,Medium
MIRIAM,300,AMSTERDAM AVENUE,10023,Mediterranean,40.780189793146,-73.980490745124,Medium
THE DEAD POET,450,AMSTERDAM AVENUE,10024,Irish,40.784852500266,-73.977091354051,High
LE MONDE,2883,BROADWAY,10025,French,40.805569772057,-73.965684089037,High
SZECHUAN GARDEN,239,WEST  105 STREET,10025,Chinese,40.800270167358,-73.967409713917,Medium
ANGAAR,283,COLUMBUS AVENUE,10023,Indian,40.778270788212,-73.978147955765,Medium
PLAYA BETTY'S / WEST SIDE COMEDY CLUB,320,AMSTERDAM AVENUE,10023,Mexican,40.780697508067,-73.980115067741,High
SUSHI KOYA,163,WEST   71 STREET,10023,Japanese,40.777560438977,-73.981210042942,Medium
MOGE TEE,971,AMSTERDAM AVENUE,10025,Coffee/Tea,40.801438708714,-73.964960219668,Low
ATLAS KITCHEN,258,WEST  109 STREET,10025,Chinese,40.803083132519,-73.966024910123,Medium
"BEACON THEATRE (ORCHESTRA BAR, MAIN FLOOR)",2124,BROADWAY,10023,American,40.7805577458,-73.981429455055,High
PATISSERIE CHANSON,2040,BROADWAY,10023,Bakery Products/Desserts,40.777198271142,-73.982083924325,Low
MODERN BREAD AND BAGEL,472,COLUMBUS AVENUE,10024,Jewish/Kosher,40.784291863123,-73.973783832856,High
MODERN BREAD AND BAGEL,472,COLUMBUS AVENUE,10024,Jewish/Kosher,40.784291863123,-73.973783832856,High
PANERA BREAD,2333,BROADWAY,10024,Sandwiches,40.787435344698,-73.977256577742,High
PERFECT PICNIC,405,CENTRAL PARK WEST,10025,Sandwiches,40.7944333915,-73.96268139317,High
LEVAIN BAKERY,167,WEST   74 STREET,10023,Bakery Products/Desserts,40.779657231505,-73.980028720635,Low
YUKI JAPANESE RESTAURANT,165,WEST   72 STREET,10023,Japanese,40.778221841427,-73.980707966635,Medium
5 NAPKIN BURGER,2315,BROADWAY,10024,Hamburgers,40.786894717189,-73.977708161141,High
THAI 72,128,WEST   72 STREET,10023,Thai,40.777917057655,-73.980029244558,Medium
MADE IN NEW YORK PIZZA,271 1/2,AMSTERDAM AVENUE,10023,Pizza,40.779017919773,-73.981310731227,Low
RAKU JAPANESE,57,WEST   76 STREET,10023,Japanese,40.779615286152,-73.975988261741,Medium
SANDWELL,412,AMSTERDAM AVENUE,10024,Sandwiches,40.783628514582,-73.977980084339,High
FRIEND OF A FARMER,68,WEST   71 STREET,10023,American,40.776393449323,-73.978534909725,High
BENNY'S CHAO KING RESTAURANT,906,COLUMBUS AVENUE,10025,Chinese,40.798161077847,-73.963668927959,Medium
ARTE CAFE & EL COCO,104-110,WEST   73 STREET,10023,Italian,40.778295614213,-73.978805097887,High
PARIS BAGUETTE CAFE,2568,BROADWAY,10025,Bakery Products/Desserts,40.795012316671,-73.971500658714,Low
ACOSTA RESTAURANT,934,AMSTERDAM AVENUE,10025,Latin American,40.800332826981,-73.965795156647,High
SIDEWALK CAFE,160,COLUMBUS AVENUE,10023,American,40.774318858455,-73.981055709645,High
SERAFINA 105,2735-2737,BROADWAY,10025,Italian,40.800292305005,-73.968049011784,High
THE LEOPARD AT DES ARTISTES,1,WEST   67 STREET,10023,Italian,40.773212309539,-73.978702019257,High
PICCOLO CAFE,313,AMSTERDAM AVENUE,10023,Italian,40.780321520375,-73.98036793829,High
HUMMUS PLACE,305,AMSTERDAM AVENUE,10023,Middle Eastern,40.780143133566,-73.980497980481,Medium
FAMOUS ORIGINAL RAY'S PIZZA,462,COLUMBUS AVENUE,10024,Pizza,40.784042130939,-73.973960871976,Low
KISSAKI,286-288,COLUMBUS AVE,10023,Japanese,40.778355868701,-73.978111820544,Medium
PATIS,676,AMSTERDAM AVENUE,10025,Jewish/Kosher,40.792028860133,-73.971852252777,High
THE MERMAID INN,570,AMSTERDAM AVENUE,10024,Seafood,40.788724745684,-73.974262381351,Very High
OLLIES TO GO,2425,BROADWAY,10024,Chinese/Japanese,40.79043485906,-73.974864817632,Medium
LYLA'S BODEGA,177,WEST   83 STREET,10024,Latin American,40.785368197909,-73.975560069114,High
TRATTORIA IL GUSTO,625,COLUMBUS AVENUE,10024,Italian,40.789278182078,-73.970119989504,High
ELIS WINE BAR,1012,AMSTERDAM AVENUE,10025,French,40.802783341084,-73.964009540077,High
EMERALD INN,250,WEST   72 STREET,10023,Irish,40.779292699707,-73.983285745093,High
OREN'S DAILY ROAST,2882,BROADWAY,10025,Coffee/Tea,40.805545068261,-73.965680489622,Low
ARTE CAFE & EL COCO,104-110,WEST   73 STREET,10023,Italian,40.778295614213,-73.978805097887,High
